,TMDBID,language,keyword1,keyword2,keyword3,art1,art2,sound1,sound2,producer1,producer2,producer3
122,9737.0,en,miami,car crash,loose cannon,John Vallone,Peter Politanoff,Mark Mancina,NA,Jerry Bruckheimer,Lucas Foster,Bruce S. Pustin
123,30765.0,en,china,panda,poacher,NA,NA,NA,NA,NA,NA,NA
124,10474.0,en,sport,basketball,addiction,NA,NA,Graeme Revell,NA,Liz Heller,John Bard Manulis,Avy Kaufman
125,30157.0,en,independent film,NA,NA,Steve Rosenzweig,Ginger Tougas,Hal Hartley,Jeffrey Taylor,Ted Hope,Hal Hartley,Billy Hopkins
126,568.0,en,moon,nasa,spaceman,Michael Corenblith,David J. Bomba,James Horner,Richard L. Anderson,Brian Grazer,Janet Hirshenson,Jane Jenkins
127,11780.0,en,scotland,biography,18th century,NA,NA,Carter Burwell,NA,Michael Caton-Jones,Richard Jackson,Peter Broughan
128,34996.0,en,new york,philosophy,vampire,NA,NA,NA,NA,NA,NA,NA
129,414.0,en,riddle,dc comics,rose,Barbara Ling,NA,Elliot Goldenthal,NA,Tim Burton,Peter Macgregor-Scott,Mali Finn
130,649.0,en,pornography,prostitute,adultery,Robert Clavel,Robert Clavel,Pierre Davoust,Ren? Longuet,Henri Baum,Raymond Hakim,Robert Hakim
131,1873.0,en,burma,rangoon,doctor,Anthony Pratt,Eddie Fowlie,Hans Zimmer,NA,John Boorman,Eric Pleskow,Sean Ryerson
132,5894.0,en,smoking,corner shop,cigarette,NA,NA,John Lurie,Billy Martin,Harvey Keitel,Bob Weinstein,Harvey Weinstein
133,1775.0,en,smoking,corner shop,cigarette,NA,NA,John Lurie,Billy Martin,Harvey Keitel,Bob Weinstein,Harvey Weinstein
134,8839.0,en,smoking,corner shop,cigarette,NA,NA,John Lurie,Billy Martin,Harvey Keitel,Bob Weinstein,Harvey Weinstein
135,20649.0,en,drug pusher,train,drug,NA,NA,NA,NA,NA,NA,NA
136,10329.0,en,gorilla,kongo,diamond mine,NA,NA,Jerry Goldsmith,NA,Frank Marshall,Kathleen Kennedy,Sam Mercer
137,8963.0,en,mutiny,missile,nuclear missile,Michael White,Mickey S. Michaels,Hans Zimmer,William B. Kaplan,Jerry Bruckheimer,Don Simpson,NA
138,26564.0,en,underground,art,robert crumb,NA,NA,David Boeddinghaus,NA,Terry Zwigoff,Lynn O'Donnell,David Lynch
139,8068.0,en,gunslinger,showdown,hitman,Cecilia Montiel,NA,Mark Ulano,B. Tennyson Sebastian III,Robert Rodriguez,Guillermo Navarro,NA
140,8512.0,en,jazz club,murder,los angeles,NA,NA,Elmer Bernstein,NA,Gary Goetzman,Jesse Beaton,NA
141,1572.0,en,bomb,robbery,die hard scenario,Jackson De Govia,John R. Jensen,Michael Kamen,Avram D. Gold,John McTiernan,Michael Tadross,NA
142,13552.0,en,sex,eroticism,nudity,Th?r?se DePrez,NA,Dan Gatto,NA,Gregg Araki,Andrea Sperling,Joseph Middleton
143,6520.0,en,camelot,king arthur,knights,John Box,NA,Jerry Goldsmith,NA,Hunt Lowry,Kathryn J. McDermott,Jerry Zucker
144,9073.0,en,human being-animal relationship,whale,killer whale,NA,NA,Basil Poledouris,NA,Jennie Lew Tugend,Lauren Shuler Donner,NA
145,10428.0,en,hacker,computer virus,NA,John Beard,Joanne Woollard,Simon Boswell,NA,Selwyn Roberts,Ralph Winter,Iain Softley
146,17447.0,en,gay,aids,based on play,Andrew Baseman,P. Michael Johnston,Stephen Endelman,NA,Mark Balsam,Mitchell Maxwell,Victoria Maxwell
147,9886.0,en,brain,childhood memory,dystopia,NA,NA,Brad Fiedel,NA,Staffan Ahrenberg,Victoria Hamburg,Robert Lantos
148,9482.0,en,brain,childhood memory,dystopia,NA,NA,Brad Fiedel,NA,Staffan Ahrenberg,Victoria Hamburg,Robert Lantos
149,19326.0,en,brain,childhood memory,dystopia,NA,NA,Brad Fiedel,NA,Staffan Ahrenberg,Victoria Hamburg,Robert Lantos
150,9344.0,en,puberty,first time,NA,NA,NA,Lou Barlow,John Davis,Michael Chambers,Patrick Panzarella,Gus Van Sant
151,9071.0,en,cinema,filmmaker,indie,NA,NA,Jim Farmer,NA,Hilary Gilford,NA,NA
152,8973.0,en,sekte,supernatural,wizardry,Steve Hardie,NA,Simon Boswell,NA,Clive Barker,JoAnne Sellar,Sharon Howard-Field
153,15730.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,47608.0,en,suicide attempt,college,teen angst,NA,NA,NA,NA,John Landgraf,David Manson,Marcus Viscidi
155,2293.0,en,sex,game show,slacker,Dina Lipton,NA,Ira Newborn,NA,Scott Mosier,Sean Daniel,James Jacks
156,9070.0,en,tokusatsu,super sentai,power rangers,NA,NA,John Flansburgh,NA,Haim Saban,Suzanne Todd,NA
157,68274.0,en,widow,female friendship,grief,NA,NA,NA,NA,NA,NA,NA
158,48787.0,en,chase,police,murder,NA,NA,NA,NA,NA,NA,NA
159,34574.0,en,new york,vampire,dracula,Kurt Ossenfort,NA,Simon Fisher-Turner,NA,David Lynch,Amy Hobby,Mary Sweeney
160,1642.0,en,cheating,new identity,computer virus,NA,NA,Mark Isham,NA,Irwin Winkler,Rob Cowan,NA
161,11472.0,en,parents kids relationship,baby,marriage,Angelo P. Graham,Garrett Lewis,Hans Zimmer,Randy Thom,Chris Columbus,Michael Barnathan,Anne Fran?ois
162,36196.0,en,library,party,free spirit,NA,NA,NA,NA,NA,NA,NA
163,11980.0,en,library,party,free spirit,NA,NA,NA,NA,NA,NA,NA
164,32646.0,en,library,party,free spirit,NA,NA,NA,NA,NA,NA,NA
165,10533.0,en,based on novel,burning of witches,puritan,NA,NA,John Barry,NA,Dodi Fayed,Roland Joff?,Tova Laiter
166,10802.0,en,dancing,female nudity,go-go dancer,NA,NA,Rena Riffel,David A. Stewart,Charles Evans,Alan Marshall,NA
167,10149.0,en,smoking,robber,cigarette,NA,NA,Rachel Portman,NA,Kenz? Horikoshi,Greg Johnson,Hisami Kuroiwa
168,18402.0,en,horse,savannah,based on true story,NA,NA,NA,NA,Goldie Hawn,Anthea Sylbert,NA
169,9348.0,en,instinct,los angeles,genetic engineering,John Muto,Dan Webster,Christopher Young,NA,Frank Mancuso Jr.,David Streit,Dennis Feldman
170,281.0,en,pornography,prostitute,rape,Lilly Kilvert,John Warnke,Graeme Revell,NA,Sharon Bialy,Debi Manwiller,Richard Pagano
171,5967.0,fr,car mechanic,letter,musical,Bernard Evein,NA,Michel Legrand,NA,Mag Bodard,Gilbert de Goldschmidt,NA
172,79593.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,47939.0,en,baseball,drifter,dog,NA,NA,NA,NA,NA,NA,NA
174,36834.0,en,mentor,poet,woman director,Dan Weil,NA,Jan A.P. Kaczmarek,NA,Jean-Pierre Ramsay-Levi,Margot Capelier,NA
175,9090.0,en,transvestism,gay,new york,Wynn Thomas,Robert Guerra,Rachel Portman,NA,G. Mac Brown,Kerry Barden,Billy Hopkins
176,3512.0,en,terrorist,pentagon,satellite,Albert Brenner,Carol Winstead Wood,Basil Poledouris,NA,Arnon Milchan,Steve Perry,Louis DiGiaimo
177,52856.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,77350.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,9560.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,9804.0,en,ocean,tatoo,mutant,Dennis Gassner,David F. Klassen,James Newton Howard,Richard King,Kevin Costner,John Davis,Charles Gordon
181,31611.0,en,dystopia,black white relations,alternative universe,NA,NA,NA,NA,NA,NA,NA
182,65796.0,en,wild bill hickok,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,49805.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,26258.0,en,cave,waterfall,children,NA,NA,NA,NA,NA,NA,NA
185,50797.0,ru,wife husband relationship,colonel,NA,Aleksandr Samulekin,Vladimir Aronin,Thierry Lebon,Marina Nigmatulina,Jean-Louis Piel,Michael Ermogeni,Michel Seydoux
186,19155.0,en,monk,mountains,restaurant,Sharon Lomofsky,David Munns,Peter Baldock,Marton Jankov-Tomica,Marc Baschet,Fr?d?rique Dumas-Zajdela,C?domir Kolar
187,76.0,en,dialogue,sunrise,talking,Florian Reichmann,NA,Fred Frith,NA,Anne Walker-McBay,Alycia Aumuller,Judy Henderson
188,11017.0,en,woman director,NA,NA,Perry Andelin Blake,Enrico Campana,Randy Edelman,Ralph Sall,Fitch Cady,Robert Simonds,Ross Fanger
189,37141.0,en,alcohol,obsession,babysitter,NA,NA,NA,NA,NA,NA,NA
190,9382.0,en,aids,roommate,homicide,NA,NA,David Newman,NA,Patricia Karlan,Arnon Milchan,Steven Reuther
191,6715.0,en,mississippi,NA,NA,NA,NA,Dave Grusin,NA,Mark Burg,Eric Eisner,NA
192,18256.0,en,castle,voyeurism,NA,Franco Vanorio,NA,Richard Band,Patrick M. Griffith,Albert Band,Charles Band,Maurizio Maggi
193,22625.0,en,castle,voyeurism,NA,Franco Vanorio,NA,Richard Band,Patrick M. Griffith,Albert Band,Charles Band,Maurizio Maggi
194,2292.0,en,castle,voyeurism,NA,Franco Vanorio,NA,Richard Band,Patrick M. Griffith,Albert Band,Charles Band,Maurizio Maggi
195,1909.0,en,sex addiction,love,mental institution,Sharon Seymour,NA,Michael Kamen,Robert John Lange,Francis Ford Coppola,Fred Fuchs,Patrick J. Palmer
196,8984.0,en,employee,workplace,sexual harassment,NA,NA,Ennio Morricone,NA,Barry Levinson,NA,NA
197,61813.0,de,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,4954.0,en,terrorist,transport of prisoners,parachuting,NA,NA,Hans Zimmer,NA,John Badham,D.J. Caruso,Lauren Lloyd
199,62488.0,it,heist,expectant father,NA,NA,NA,NA,NA,NA,NA,NA
200,10531.0,en,married couple,chile,pinochet-regime,Pierre Guffroy,Claude Moesching,Wojciech Kilar,NA,Mary Selway,Jane Barclay,Sharon Harel
201,11929.0,en,child abuse,detective,based on novel,NA,NA,Danny Elfman,NA,Taylor Hackford,Charles Mulvehill,NA
202,8467.0,en,gas station,motel,utah,Sydney J. Bartholomew Jr.,NA,Todd Rundgren,NA,Rick Montgomery,Steven Stabler,Brad Krevoy
203,10451.0,en,cooking,sense of life,daughter,NA,NA,Mader,NA,Kong Hsu,Li-Kong Hsu,Feng-Chyt Jiang
204,20156.0,en,secret,nightclub,pet shop,NA,NA,NA,NA,NA,NA,NA
205,18395.0,en,female nudity,sexuality,island,NA,NA,Patrick Doyle,NA,Garry Marshall,Nick Abdo,Gary Daigler
206,522.0,en,individual,taxi,transsexuality,Tom Duffield,Okowita,Howard Shore,Ellen Segal,Tim Burton,Denise Di Novi,Michael Flynn
207,397.0,en,paris,airport,in love with enemy,NA,NA,James Newton Howard,NA,Charles Okun,Meg Ryan,NA
208,10525.0,en,paris,airport,in love with enemy,NA,NA,James Newton Howard,NA,Charles Okun,Meg Ryan,NA
209,27985.0,en,paris,airport,in love with enemy,NA,NA,James Newton Howard,NA,Charles Okun,Meg Ryan,NA
210,15789.0,en,father-son relationship,pop singer,musical,Dennis Venizelos,NA,NA,NA,NA,NA,NA
211,27303.0,en,suspense,NA,NA,NA,NA,NA,NA,Gimel Everett,NA,NA
212,21183.0,en,father-son relationship,based on novel,reincarnation,Hilda Stark,Richard Fojo,Carlo Siliotto,NA,Paul Maslansky,Lata Ryan,Tom Coleman
213,10954.0,fr,brother brother relationship,opera,eunuch,NA,NA,NA,NA,V?ra Belmont,NA,NA
214,47867.0,en,country music,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,72031.0,de,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,14275.0,en,sports team,ghetto,narration,NA,NA,NA,NA,NA,NA,NA
217,1024.0,en,mother,sex,secret,NA,NA,Peter Dasent,NA,Jim Booth,NA,NA
218,17207.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,13701.0,en,deafness,sister in law,character study,NA,NA,NA,NA,Bruce Davey,Stephen McEveety,NA
220,14819.0,en,overweight,summer camp,NA,NA,NA,NA,NA,NA,NA,NA
221,32631.0,en,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,11777.0,en,wedding vows,mathematician,car mechanic,NA,NA,Jerry Goldsmith,NA,Carol Baum,Sandy Gallin,Scott Rudin
223,628.0,en,paris,san francisco,vampire,Dante Ferretti,Malcolm Middleton,Elliot Goldenthal,NA,David Geffen,Stephen Woolley,Redmond Morris
224,87729.0,en,france,revolution,biography,NA,NA,NA,NA,Ismail Merchant,Donald Rosenfeld,NA
225,18713.0,en,new york,telephone joke,gangster,NA,NA,NA,NA,NA,NA,NA
226,6280.0,en,pregnancy,NA,NA,NA,NA,James Newton Howard,NA,Ivan Reitman,NA,NA
